Data,Abertura,Máxima,Mínima,Fechamento,Volume Financeiro
16/07/2020,23.16,23.28,22.52,22.72,1574362460
15/07/2020,23.2,23.43,22.85,23.34,1347222700
14/07/2020,22.13,22.96,21.86,22.9,2010086755
13/07/2020,22.61,22.65,22.16,22.16,1228024870
10/07/2020,22.19,22.65,22.06,22.51,1275004072
09/07/2020,22.78,22.81,22.06,22.14,1263468093
08/07/2020,22.45,22.76,22.4,22.65,1101905388
07/07/2020,22.34,22.47,22.14,22.23,1033238537
06/07/2020,22.39,22.86,22.31,22.51,1299613176
03/07/2020,21.95,22.18,21.8,21.98,520556761
02/07/2020,22.1,22.21,21.86,22.06,1235936700
01/07/2020,21.75,22.25,21.52,21.71,1720581512
30/06/2020,21.34,21.8,21.09,21.55,1388510308
29/06/2020,21.1,21.66,20.93,21.66,1272253199
26/06/2020,21.21,21.47,20.78,20.84,1146939665
25/06/2020,20.91,21.47,20.73,21.47,988350301
24/06/2020,21.49,21.56,20.71,21,1371542518
23/06/2020,21.22,22.07,21.14,21.65,1697576491
22/06/2020,21.6,21.6,20.9,20.95,942344134
19/06/2020,22,22.22,21.22,21.47,1950789215
18/06/2020,21.18,21.77,21.08,21.6,1216379073
17/06/2020,21.48,21.85,21.15,21.44,1342506152
16/06/2020,21.56,21.91,21.17,21.37,2028535637
15/06/2020,19.81,21.09,19.54,20.7,2011545324
12/06/2020,20.62,21.17,20.1,20.6,2386430837
10/06/2020,21.89,21.9,21,21.4,2177953347
09/06/2020,22.03,22.04,21.64,21.72,2083131737
08/06/2020,22.55,22.59,22.01,22.53,1818233285
05/06/2020,22.29,23.03,22.06,22.1,2531686201
04/06/2020,21.39,21.78,21.04,21.43,2288555371
03/06/2020,21.86,21.91,21.41,21.47,1852274468
02/06/2020,20.75,21.4,20.6,21.4,1592479431
01/06/2020,20.15,20.56,20,20.33,1752609822
29/05/2020,19.55,20.34,19.3,20.34,2528729698
28/05/2020,19.69,20.08,19.45,19.77,1272502608
27/05/2020,19.8,19.93,19.15,19.93,1450617272
26/05/2020,19.98,20.09,19.33,19.67,1346880695
25/05/2020,19.48,19.56,19.26,19.48,731218164
22/05/2020,18.8,18.9,18.35,18.67,1281506547
21/05/2020,19.5,19.77,19.07,19.19,1570079052
20/05/2020,19.09,19.44,19.06,19.3,1427671787
19/05/2020,18.51,18.93,18.41,18.68,1492860069
18/05/2020,18.1,18.54,17.92,18.54,2125529789
15/05/2020,17.99,18.19,17.15,17.15,2353244299
14/05/2020,17.4,17.47,16.72,17.4,2028535738
13/05/2020,18.26,18.35,17.52,17.59,1541083705
