Data,Abertura,Máxima,Mínima,Fechamento,Volume Financeiro
16/07/2020,61.3,61.69,59.85,60.12,1366805211
15/07/2020,62.3,62.93,60.39,61.79,1828339516
14/07/2020,57.92,61.97,57.9,61.7,3142288142
13/07/2020,57.73,59.22,57.65,57.65,1668962283
10/07/2020,56.52,57.3,56.16,56.97,835236440
09/07/2020,57.52,57.68,56.06,56.42,1113257861
08/07/2020,56.9,57.72,55.79,57.32,1860744254
07/07/2020,56.74,56.98,56.1,56.37,759642480
06/07/2020,56.09,56.74,55.59,56.57,1325387855
03/07/2020,55.2,55.7,54.93,55.26,429565603
02/07/2020,54.85,55.74,54.75,55.49,1324744052
01/07/2020,56.08,56.08,54.05,54.54,1575198593
30/06/2020,55.44,56.54,55.01,55.92,1529509713
29/06/2020,55.44,55.91,54.84,55.63,841776406
26/06/2020,55.9,56.95,55.21,55.62,1203045626
25/06/2020,55.5,56.15,54.87,56,936768401
24/06/2020,56.25,56.26,54.82,55.39,1001143965
23/06/2020,55.53,56.56,55.37,55.59,1016867559
22/06/2020,55,55.35,54.43,55,811421701
19/06/2020,56.33,56.6,54.71,55.17,2096655612
18/06/2020,56.3,56.54,55.61,56.17,1442646151
17/06/2020,55.49,56.44,55.15,56.2,1540409462
16/06/2020,55.49,55.5,54.22,55.39,1606623944
15/06/2020,52.5,54.43,52.13,53.88,1456724317
12/06/2020,53.71,54.05,51.98,53.4,1650909930
10/06/2020,54.91,55.2,53.76,54.2,1314914946
09/06/2020,54.16,54.99,54.12,54.99,1071615010
08/06/2020,54.98,55.65,53.98,54.78,1484970352
05/06/2020,56.39,56.7,54.34,54.61,2192767232
04/06/2020,53.72,55.7,53.52,55.66,2047467044
03/06/2020,53.9,54.34,53.38,53.66,1680077929
02/06/2020,53.8,53.8,53,53.42,1356944787
01/06/2020,52.82,53.85,52.5,53.42,1441934550
29/05/2020,51.4,53,51.06,53,4832088196
28/05/2020,51,51.65,50.05,50.09,1184247192
27/05/2020,49.84,50.83,48.78,50.64,1591476093
26/05/2020,50.38,50.52,48.84,49.2,1423161553
25/05/2020,51.41,51.68,49.92,50.1,1060827230
22/05/2020,50.77,51.1,49.9,50.27,1177761107
21/05/2020,52.29,52.66,50.37,51.13,2142466416
20/05/2020,53.37,53.67,52.5,52.5,1429723605
19/05/2020,51.3,52.71,51.09,52.44,1437846913
18/05/2020,50.34,51.6,49.95,51.26,2134350474
15/05/2020,48.69,49.3,48.05,48.05,1698046859
14/05/2020,47.95,48.46,46.94,48.09,1693023044
13/05/2020,48.17,49.18,47.66,48.54,1647332107
12/05/2020,48.43,48.6,47.46,47.46,1039225388
11/05/2020,48.21,49.25,47.73,47.73,1188736261
08/05/2020,47.5,48.96,46.97,48.85,1624784265
07/05/2020,45.63,46.98,45.45,46.05,1948941378
06/05/2020,44.19,44.76,43.61,44.33,1168488627
05/05/2020,44.45,45.03,43.7,43.7,839090826
04/05/2020,43.7,44.33,43.4,43.93,739381418
30/04/2020,45.71,46.17,44.76,44.86,1147279371
29/04/2020,45.35,47.38,44.84,46.73,1525150877
28/04/2020,45.2,45.29,43.48,44.61,1130528857
27/04/2020,44.46,45.05,43.86,44.55,1132133710
24/04/2020,43.37,44.2,41.83,43.76,2368390661
23/04/2020,43.29,44.69,42.81,43.51,1183048545
22/04/2020,42.6,43.24,42.05,42.9,964891391
20/04/2020,43.26,43.26,42.23,42.46,1235178773
17/04/2020,43.9,44.23,43.22,44,1029545469
16/04/2020,43.8,43.99,42.04,42.76,1034853657
15/04/2020,43.5,43.9,42.61,43.19,1242411300
14/04/2020,45.62,46,44.5,44.53,1116149150
13/04/2020,43.2,44.57,42.98,44.57,968648073
09/04/2020,43.95,44.47,42.84,43.28,1301743953
08/04/2020,43.5,44.25,43.05,43.51,1278290930
07/04/2020,45.19,45.5,43.56,43.78,1510806634
06/04/2020,42.6,43.39,41.97,43.13,1366286306
03/04/2020,42.8,42.87,39.76,40.5,1288389887
